GROUP,TOPIC,PARTITION,CURRENT-OFFSET,LOG-END-OFFSET,LAG
demo-consumer-group,topic-1000,945,43,45,2
demo-consumer-group,topic-1000,369,21,22,1
demo-consumer-group,topic-1000,246,46,48,2
demo-consumer-group,topic-1000,291,35,36,1
demo-consumer-group,topic-1000,177,35,35,0
demo-consumer-group,topic-1000,677,33,34,1
demo-consumer-group,topic-1000,383,49,51,2
demo-consumer-group,topic-1000,580,46,47,1
demo-consumer-group,topic-1000,659,36,38,2
demo-consumer-group,topic-1000,584,26,27,1
demo-consumer-group,topic-1000,64,45,45,0
demo-consumer-group,topic-1000,73,36,36,0
demo-consumer-group,topic-1000,966,41,43,2
demo-consumer-group,topic-1000,539,46,46,0
demo-consumer-group,topic-1000,328,36,39,3
demo-consumer-group,topic-1000,949,35,39,4
demo-consumer-group,topic-1000,274,25,25,0
demo-consumer-group,topic-1000,207,32,33,1
demo-consumer-group,topic-10,0,5108,5457,349
demo-consumer-group,topic-1000,718,41,42,1
demo-consumer-group,topic-1000,304,35,38,3
demo-consumer-group,topic-1000,373,36,39,3
demo-consumer-group,topic-1000,800,42,46,4
demo-consumer-group,topic-1000,210,31,34,3
demo-consumer-group,topic-1000,655,35,36,1
demo-consumer-group,topic-1000,118,35,38,3
demo-consumer-group,topic-1000,387,45,47,2
demo-consumer-group,topic-1000,600,39,41,2
demo-consumer-group,topic-1000,596,36,36,0
demo-consumer-group,topic-1000,395,29,30,1
demo-consumer-group,topic-1000,359,42,46,4
demo-consumer-group,topic-1000,733,29,31,2
demo-consumer-group,topic-1000,605,39,40,1
demo-consumer-group,topic-1000,643,30,34,4
demo-consumer-group,topic-1000,925,31,32,1
demo-consumer-group,topic-1000,909,28,29,1
demo-consumer-group,topic-1000,333,39,40,1
demo-consumer-group,topic-1000,601,28,28,0
demo-consumer-group,topic-1000,429,30,31,1
demo-consumer-group,topic-1000,845,36,37,1
demo-consumer-group,topic-1000,857,34,34,0
demo-consumer-group,topic-1000,288,30,31,1
demo-consumer-group,topic-1000,375,38,39,1
demo-consumer-group,topic-1000,277,52,55,3
demo-consumer-group,topic-1000,693,36,36,0
demo-consumer-group,topic-1000,168,36,36,0
demo-consumer-group,topic-1000,397,41,42,1
demo-consumer-group,topic-1000,99,44,46,2
demo-consumer-group,topic-1000,903,30,33,3
demo-consumer-group,topic-1000,172,40,44,4
demo-consumer-group,topic-1000,11,29,30,1
demo-consumer-group,topic-1000,905,47,47,0
demo-consumer-group,topic-1000,341,39,39,0
demo-consumer-group,topic-1000,379,35,37,2
demo-consumer-group,topic-1000,95,33,35,2
demo-consumer-group,topic-1000,992,32,33,1
demo-consumer-group,topic-1000,639,33,37,4
demo-consumer-group,topic-1000,689,41,44,3
demo-consumer-group,topic-1000,921,29,29,0
demo-consumer-group,topic-1000,794,32,33,1
demo-consumer-group,topic-1000,213,34,36,2
demo-consumer-group,topic-1000,742,31,32,1
demo-consumer-group,topic-1000,789,28,28,0
demo-consumer-group,topic-1000,280,38,39,1
demo-consumer-group,topic-1000,409,39,40,1
demo-consumer-group,topic-1000,726,36,37,1
demo-consumer-group,topic-1000,797,40,42,2
demo-consumer-group,topic-1000,18,44,48,4
demo-consumer-group,topic-1000,754,43,43,0
demo-consumer-group,topic-1000,4,42,43,1
demo-consumer-group,topic-1000,669,32,33,1
demo-consumer-group,topic-1000,59,38,40,2
demo-consumer-group,topic-1000,425,26,28,2
demo-consumer-group,topic-1000,725,31,32,1
demo-consumer-group,topic-1000,861,41,45,4
demo-consumer-group,topic-1000,865,33,36,3
demo-consumer-group,topic-1000,877,31,31,0
demo-consumer-group,topic-1000,562,34,35,1
demo-consumer-group,topic-1000,546,35,35,0
demo-consumer-group,topic-1000,591,31,31,0
demo-consumer-group,topic-1000,54,32,36,4
demo-consumer-group,topic-1000,587,47,50,3
demo-consumer-group,topic-1000,244,35,36,1
demo-consumer-group,topic-1000,442,43,45,2
demo-consumer-group,topic-1000,748,30,33,3
demo-consumer-group,topic-1000,52,31,33,2
demo-consumer-group,topic-1000,609,35,36,1
demo-consumer-group,topic-1000,349,37,39,2
demo-consumer-group,topic-1000,50,37,37,0
demo-consumer-group,topic-1000,835,34,37,3
demo-consumer-group,topic-1000,220,49,49,0
demo-consumer-group,topic-1000,889,46,50,4
demo-consumer-group,topic-1000,761,38,39,1
demo-consumer-group,topic-1000,869,32,33,1
demo-consumer-group,topic-1000,777,38,39,1
demo-consumer-group,topic-1000,471,31,33,2
demo-consumer-group,topic-1000,281,38,39,1
demo-consumer-group,topic-1000,315,39,40,1
demo-consumer-group,topic-1000,490,38,41,3
demo-consumer-group,topic-1000,228,32,33,1
demo-consumer-group,topic-1000,61,34,35,1
demo-consumer-group,topic-1000,819,35,39,4
demo-consumer-group,topic-1000,3,27,29,2
demo-consumer-group,topic-1000,234,35,36,1
demo-consumer-group,topic-1000,544,30,30,0
demo-consumer-group,topic-1000,940,31,33,2
demo-consumer-group,topic-1000,912,24,25,1
demo-consumer-group,topic-1000,476,36,37,1
demo-consumer-group,topic-1000,916,31,32,1
demo-consumer-group,topic-1000,784,37,40,3
demo-consumer-group,topic-1000,104,30,30,0
demo-consumer-group,topic-1000,186,27,29,2
demo-consumer-group,topic-1000,625,45,46,1
demo-consumer-group,topic-1000,394,50,52,2
demo-consumer-group,topic-1000,672,37,37,0
demo-consumer-group,topic-1000,89,26,26,0
demo-consumer-group,topic-1000,68,32,33,1
demo-consumer-group,topic-1000,791,39,41,2
demo-consumer-group,topic-1000,309,39,39,0
demo-consumer-group,topic-1000,837,33,36,3
demo-consumer-group,topic-1000,327,40,43,3
demo-consumer-group,topic-1000,25,28,28,0
demo-consumer-group,topic-1000,956,30,31,1
demo-consumer-group,topic-1000,621,35,35,0
demo-consumer-group,topic-1000,575,31,32,1
demo-consumer-group,topic-1000,898,48,48,0
demo-consumer-group,topic-1000,811,28,30,2
demo-consumer-group,topic-1000,100,46,47,1
demo-consumer-group,topic-1000,105,35,36,1
demo-consumer-group,topic-1000,795,48,54,6
demo-consumer-group,topic-1000,531,33,39,6
demo-consumer-group,topic-1000,10,37,38,1
demo-consumer-group,topic-1000,178,38,39,1
demo-consumer-group,topic-1000,257,52,54,2
demo-consumer-group,topic-1000,505,34,35,1
demo-consumer-group,topic-1000,676,37,41,4
demo-consumer-group,topic-1000,485,39,40,1
demo-consumer-group,topic-1000,204,38,38,0
demo-consumer-group,topic-1000,28,37,39,2
demo-consumer-group,topic-1000,151,28,29,1
demo-consumer-group,topic-1000,804,35,40,5
demo-consumer-group,topic-1000,439,36,36,0
demo-consumer-group,topic-1000,515,42,42,0
demo-consumer-group,topic-1000,258,24,27,3
demo-consumer-group,topic-1000,662,29,30,1
demo-consumer-group,topic-1000,402,38,39,1
demo-consumer-group,topic-1000,265,48,50,2
demo-consumer-group,topic-1000,75,47,47,0
demo-consumer-group,topic-1000,714,48,49,1
demo-consumer-group,topic-1000,292,33,35,2
demo-consumer-group,topic-1000,155,36,36,0
demo-consumer-group,topic-1000,303,39,41,2
demo-consumer-group,topic-1000,812,34,36,2
demo-consumer-group,topic-1000,431,28,28,0
demo-consumer-group,topic-1000,284,29,30,1
demo-consumer-group,topic-1000,535,37,42,5
demo-consumer-group,topic-1000,658,29,30,1
demo-consumer-group,topic-1000,506,34,35,1
demo-consumer-group,topic-1000,722,45,47,2
demo-consumer-group,topic-1000,646,33,36,3
demo-consumer-group,topic-1000,144,36,37,1
demo-consumer-group,topic-1000,148,36,36,0
demo-consumer-group,topic-1000,540,39,40,1
demo-consumer-group,topic-1000,467,33,35,2
demo-consumer-group,topic-1000,569,50,52,2
demo-consumer-group,topic-1000,343,32,33,1
demo-consumer-group,topic-1000,785,35,35,0
demo-consumer-group,topic-1000,922,33,33,0
